"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
3499,2005,"ford","focus","            133582","            automatic","            clean","            excellent","            fwd","            gas",NA,"            mid-size"
NA,2014,"Ford","F-150 XLT","            47507","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2008,"Dodge","Ram 3500","            102302","            automatic","            clean","            excellent","            4wd","            diesel",NA,NA
18551,2013,"Mercedes-Benz","C250 Sport","            59519","            automatic","            clean","            excellent","            rwd","            gas","           paint color: white","            mid-size"
17995,2013,"Mercedes-Benz"," C250 Luxury","            51111","            automatic","            clean","            excellent","            rwd","            gas","           paint color: black","            full-size"
NA,2005,"Ford","Mustang","            80953","            automatic","            clean","            excellent","            rwd","            gas","           paint color: silver","            sub-compact"
5000,1985,"1985","xj6",NA,"            automatic","            clean","            good",NA,"            gas","           paint color: green","            mid-size"
NA,2010,"Ford","Mustang","            65126","            automatic","            clean",NA,"            rwd","            gas","           paint color: silver",NA
NA,2011,"Chevrolet","Silverado 2500HD","            78779","            automatic","            clean","            excellent","            4wd","            gas","           paint color: blue",NA
2200,1997,"honda","civic ex","            147123","            automatic","            clean","            good","            fwd","            gas","           paint color: green","            compact"
14500,2011,"Subaru","Outback 2.5i Prem","            79302","            automatic","            clean","            excellent","            4wd","            gas","           paint color: black","            full-size"
15499,2014,"Ford","Fusion","            26970","            automatic","            clean",NA,"            fwd","            gas","           paint color: orange","            mid-size"
NA,2015,"Ford","F-150","            29761","            automatic","            clean","            excellent","            4wd","            gas","           paint color: white",NA
1,2016,"Chevy","Trax",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2008,"Nissan","Altima","            164963","            automatic","            clean",NA,NA,"            gas",NA,NA
10995,2009,"Volkswagen","GTI","            79129","            automatic","            clean","            excellent","            fwd","            gas","           paint color: red","            mid-size"
NA,2014,"Ford","Super Duty F-350 SRW","            56142","            automatic","            clean","            excellent","            4wd","            diesel","           paint color: black",NA
8900,2015,"Jeep","patriot","            60","            automatic","            clean","            good","            fwd","            gas","           paint color: white","            full-size"
48000,1950,"Ford","F-1","            18500","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2013,"Toyota","Tundra Crew Max Limited","            59084","            automatic","            clean","            excellent","            4wd","            gas","           paint color: black","            full-size"
5300,2006,"infiniti","g35 sedan","            174","            automatic","            clean","            excellent",NA,"            gas",NA,NA
5500,1997,"Gmc","sonoma","            180000","            manual","            clean","            excellent","            rwd","            gas","           paint color: black","            compact"
699,2009,"Chevrolet","Aveo","            102812","            automatic","            clean","            excellent","            fwd","            gas",NA,NA
23995,2010,"Toyota","Tundra 4WD Truck","            65411","            automatic","            clean","            excellent","            4wd","            gas","           paint color: white","            full-size"
NA,1970,"Chevy","Blazer",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2012,"Ford","F-150","            85685","            automatic","            clean","            excellent","            4wd","            gas","           paint color: black",NA
NA,2014,"buick","lacrosse cxl","            30","            automatic","            rebuilt","            excellent","            fwd","            gas","           paint color: blue","            compact"
32000,2011,"bmw","z4 sdrive35i","            350000","            manual","            clean","            excellent","            rwd","            gas","           paint color: blue",NA
15591,2009,"Lexus","IS 250","            63000","            automatic","            clean",NA,"            4wd","            gas","           paint color: custom",NA
22995,2012,"Toyota","Tacoma PreRunner","            95042","            automatic","            clean","            excellent","            rwd","            gas","           paint color: black","            full-size"
NA,2017,"Ford","Super Duty F-250 SRW","            3395","            automatic","            clean","            excellent","            4wd","            diesel","           paint color: white","            full-size"
999,2002,"home","made trailer",NA,"            other","            clean",NA,NA,"            other",NA,NA
2499,2013,"Ford","FUSION","            40100","            automatic","            clean","            excellent",NA,"            gas",NA,NA
2200,2008,"golf","cart",NA,"            automatic","            clean","            good",NA,"            electric",NA,NA
5099,2007,"suzuki","xl- 7, xl7",NA,"            automatic","            rebuilt","            good","            4wd","            gas","           paint color: white","            full-size"
NA,2009,"gmc","1500 sierra",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
2099,2002,"chrysler","pt cruiser","            143600","            automatic","            rebuilt","            good","            fwd","            gas","           paint color: grey","            mid-size"
NA,2014,"Ford","F-150","            37300","            automatic","            clean","            excellent","            4wd","            gas","           paint color: white","            full-size"
13999,2012,"ford","e250 econoline cargo van","            57000","            automatic","            clean","            excellent","            rwd","            gas","           paint color: white","            full-size"
17994,2014,"Nissan","Rogue","            36834","            automatic","            clean",NA,"            fwd","            gas","           paint color: white","            compact"
NA,2010,"Chevrolet","Avalanche","            68000","            automatic","            clean","            excellent","            4wd","            gas","           paint color: grey","            full-size"
3800,2005,"Chevy","Silverado 2500HD","            292500","            automatic","            clean","            good","            rwd","            gas","           paint color: white","            full-size"
6000,2011,"Ford","Fusion","            123000","            automatic","            clean","            excellent","            fwd","            gas","           paint color: black","            mid-size"
4900,2003,"dodge","ram 1500",NA,"            automatic","            clean","            good","            rwd","            gas","           paint color: blue","            full-size"
NA,2012,"Ford","F-150","            33925","            automatic","            clean","            excellent","            4wd","            gas","           paint color: red","            full-size"
11200,2006,"ford","mustang gt","            51000","            automatic","            clean","            like new","            rwd","            gas","           paint color: blue",NA
4995,2005,"Chevrolet","TRAILBLAZER","            113857","            automatic","            clean","            excellent",NA,"            gas",NA,"            full-size"
2000,1961,"Ford","falcon",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
9495,2011,"2011","Kia Sorento","            130867","            automatic","            clean","            excellent",NA,"            gas","           paint color: grey",NA
6700,2005,"lexus","es 330",NA,"            automatic","            rebuilt",NA,NA,"            gas",NA,NA
NA,2014,"Chevrolet","Silverado 1500","            89461","            automatic","            clean","            excellent","            rwd","            gas","           paint color: black","            full-size"
12995,2013,"mazda","3","            38000","            automatic","            clean",NA,NA,"            gas",NA,NA
1950,1995,"mercedes","benz e420","            155000","            automatic","            clean","            good",NA,"            gas",NA,NA
NA,2013,"Ford","F-150","            94522","            ","            clean",NA,"            4wd","            gas","           paint color: white",NA
6950,2013,"200","chrysler","            65","            automatic","            clean","            good","            fwd","            gas","           paint color: silver","            compact"
7999,2003,"Ford","F-250 Super Duty SUPER DUTY",NA,"            automatic","            clean",NA,"            rwd","            diesel","           paint color: silver",NA
NA,2012,"Dodge","Ram 3500","            104320","            automatic","            clean","            excellent","            4wd","            diesel","           paint color: black","            full-size"
18995,2008,"Toyota","Tacoma PreRunner","            96962","            automatic","            clean","            excellent","            rwd","            gas","           paint color: blue","            full-size"
6900,2010,"Chevy","Impala LT","            72600","            automatic","            clean","            excellent","            fwd","            gas","           paint color: black",NA
24551,2009,"Jeep","Wrangler","            71947","            automatic","            clean","            excellent","            4wd","            gas","           paint color: grey","            mid-size"
8500,1978,"chevrolet","corvette","            60913","            automatic","            clean","            good","            rwd","            gas","           paint color: silver","            compact"
3999,2002,"toyota","camry xle","            144000","            automatic","            clean","            excellent","            fwd","            gas",NA,"            full-size"
1000,2001,"Ford","ranger","            220000","            automatic","            clean",NA,NA,"            gas",NA,NA
8889,2012,"Chevrolet","Cruze","            64245","            automatic","            clean","            excellent","            fwd","            gas","           paint color: blue","            compact"
7100,2004,"lexus","rx 330","            152660","            automatic","            clean","            excellent","            fwd","            gas","           paint color: black","            mid-size"
10950,2013,"Nissan","Altima 2.5 S 4dr Sedan","            87108","            other","            clean",NA,"            fwd","            other","           paint color: black",NA
8995,2015,"Smart","fortwo Pure","            26","            automatic","            clean","            like new","            rwd","            gas","           paint color: white","            sub-compact"
16998,2013,"Kia","Optima","            58769","            automatic","            clean","            excellent","            fwd","            gas","           paint color: grey","            mid-size"
NA,2012,"kia","sorento","            78906","            other","            clean","            excellent","            fwd","            gas","           paint color: blue","            compact"
8000,1978,"ford","f150","            94000","            automatic","            clean","            good","            rwd","            gas","           paint color: red","            full-size"
2900,1967,"Ford","f250",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
950,2000,"CHEVY","MALIBU CLASSIC","            104213","            automatic","            clean","            good","            fwd","            gas","           paint color: silver","            mid-size"
