"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
20949,2016,"Chrysler","Town &amp; Country","            14841","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
19495,2016,"Chrysler","Town &amp; Country","            25532","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            22991","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
19495,2016,"Chrysler","Town &amp; Country","            23823","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            26277","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
1,1990,"Dodge","Ramcharger",NA,"            other","            clean",NA,NA,"            gas",NA,NA
19495,2016,"Chrysler","Town &amp; Country","            25538","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
19495,2016,"Chrysler","Town &amp; Country","            24158","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
19432,2014,"Chrysler","300","            51941","            automatic","            clean",NA,NA,"            gas","           paint color: red",NA
11989,2015,"Dodge","Dart","            24963","            automatic","            clean",NA,NA,"            gas",NA,NA
29500,2003,"Freightliner","classic",NA,"            other","            clean",NA,NA,"            diesel",NA,NA
28500,2008,"Dodge","Cummins","            77000","            automatic","            clean","            good","            4wd","            diesel",NA,NA
1200,1990,"honda","accord 4-door sedan","            176126","            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
24000,2016,"Chevy","Trax","            27400","            automatic","            clean","            new","            fwd","            gas","           paint color: silver",NA
17995,2005,"Chevrolet","Silverado 3500 Work Tr","            207236","            automatic","            clean",NA,"            4wd","            diesel",NA,NA
7900,2014,"Hyundai","Accent GLS","            58025","            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
16995,2013,"Kia","Optima","            73817","            automatic","            clean",NA,"            fwd","            gas","           paint color: blue",NA
14499,2011,"Ford","F-150 XLT Ecoboost","            186000","            automatic","            clean",NA,"            4wd","            gas","           paint color: black","            full-size"
16995,2013,"Kia","Optima","            73817","            automatic","            clean",NA,"            fwd","            gas","           paint color: blue",NA
14499,2011,"Ford","F-150 XLT Ecoboost","            186000","            automatic","            clean",NA,"            4wd","            gas","           paint color: black","            full-size"
